Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iceland,ISL,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13599968,11.77900028,10.74100018,10.36499977,10.40400028,10.6789999,11.56400013,11.51099968,11.3739996,11.33300018,9.770000458,9.475999832,7.347000122,8.56000042,7.40500021,7.607999802,7.592000008,7.263999939,6.614999771,8.31099987,8.37100029,8.472999573,8.236000061,7.90500021,7.559000015,7.625,7.639999866,7.633999825,7.625
Iceland,ISL,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.861000061,6.646999836,5.416999817,5.447000027,6.722000122,8.142000198,6.276000023,6.551000118,6.53000021,7.131999969,6.40500021,6.015999794,4.168000221,4.589000225,5.289999962,5.112999916,4.868999958,4.572000027,4.093999863,4.097000122,4.138000011,4.087999821,4.132999897,3.819000006,3.582000017,4.02699995,3.852999926,3.84100008,3.828999996
Iceland,ISL,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.906000137,9.411000252,7.910999775,7.589000225,9.347999573,11.67000008,8.510000229,9.206999779,9.241999626,9.80700016,9.406999588,9.222999573,5.967000008,6.379000187,7.508999825,7.429999828,6.690000057,6.467999935,6.43900013,5.739999771,5.900000095,5.747000217,5.842999935,5.922999859,5.488999844,5.708000183,5.611000061,5.59100008,5.565999985
Iceland,ISL,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.190000057,3.339999914,2.52699995,2.996000051,3.739000082,4.059000015,3.667000055,3.437000036,3.434999943,4.111000061,2.959000111,2.413000107,2.137000084,2.612999916,2.779999971,2.457000017,2.779999971,2.405999899,1.523000002,2.273000002,2.191999912,2.267999887,2.256999969,1.480000019,1.472000003,2.137000084,1.888000011,1.891000032,1.89199996
Iceland,ISL,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.27600098,54.86600113,52.49599838,51.74599838,60.95199966,58.97499847,59.80199814,66.5759964,68.16500092,73.41999817,75.65100098,65.88899994,63.39599991,65.43499756,70.54499817,72.34300232,74.47200012,71.80000305,61.41600037,61.61600113,62.24900055,65.15899658,69.56400299,70.21700287,73.03700256,77.57800293,75.62599945,75.97699738,75.83200073
Iceland,ISL,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.57799911,54.49900055,52.36800003,51.73099899,61.76910019,60.11980057,60.57130051,67.04299927,68.69249725,73.90019989,75.86849976,66.84249878,70.38790131,69.71669769,70.48639679,72.10919952,74.27269745,71.74079895,61.51760101,61.71630096,62.52560043,65.43720245,69.71060181,70.5338974,73.10639954,77.61450195,75.79720306,75.42099762,
Iceland,ISL,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2820015,55.83200073,50.97299957,50.39899826,61.00699997,60.62200165,58.2519989,65.15399933,65.65299988,69.55699921,75.41300201,64.12599945,62.53499985,60.89500046,67.70800018,70.37999725,74.0739975,69.85700226,56.40999985,57.87200165,58.15999985,62.06399918,64.19499969,67.35500336,69.88899994,76.91699982,74.58899689,74.30899811,74.38999939
Iceland,ISL,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.64099884,55.32099915,50.89500046,50.42200089,61.89559937,61.6330986,59.01490021,65.67739868,66.53130341,70.61009979,75.75499725,65.4641037,73.57569885,69.37290192,67.8423996,70.20939636,74.01069641,70.09420013,56.88690186,58.23469925,58.65750122,62.70240021,64.68489838,67.59889984,69.86859894,77.10540009,75.10299683,74.51889801,
Iceland,ISL,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.27000046,53.86399841,54.07300186,53.13999939,60.89500046,57.27000046,61.40499878,68.04499817,70.76000214,77.41400146,75.89700317,67.71600342,64.28900146,70.16000366,73.50499725,74.39299774,74.88700104,73.82099915,66.61599731,65.4980011,66.5059967,68.39700317,75.20200348,73.23100281,76.35600281,78.27300262,76.70999908,77.71199799,77.3259964
Iceland,ISL,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.51200104,53.63100052,53.91500092,53.10499954,61.6352005,58.53039932,62.21229935,68.50759888,71.02890015,77.41660309,75.98709869,68.27089691,66.97429657,70.07720184,73.31469727,74.16300201,74.55680084,73.52709961,66.44509888,65.33380127,66.60630035,68.40280151,75.16239929,73.57309723,76.4713974,78.16639709,76.55870056,76.41639709,
