Magnitude,Longitude,Latitude,
4.4,-17.7756,64.6124, 14.49]
4.5,-17.4816,64.6331, 9.11]
4,-17.2968,64.4404, 5.72]
4.8,-17.4465,64.6995, 5.79]
4.4,-17.8175,64.5375, 8.64]
4.5,-17.6024,64.5794, 7.21]
5.3,-17.2768,64.7254, 8.8]
4.6,-17.6449,64.6177, 6.5]
4.3,-17.6541,64.6273, 6.98]
4.6,-17.5397,64.6003, 7.29]
4.5,-17.2366,64.6369, 8.26]
4.6,-17.8386,64.4803, 6.91]
4.6,-17.5007,64.6624, 7.57]
4.7,-17.5353,64.6175, 7.72]
5.5,-18.0043,64.4814, 10]
4.6,-17.4853,64.6338, 8.1]
4.7,-17.5133,64.6479, 9]
4.6,-17.5042,64.6289, 8.33]
4.5,-17.8712,64.4883, 10]
4.7,-17.5508,64.6879, 7.18]
4.7,-17.5143,64.648, 10]
4.5,-17.8399,64.5621, 10]
4.3,-17.6107,64.3668, 10]
4.6,-17.4395,64.6412, 10]
4.8,-17.764,64.5756, 7.73]
4.6,-17.5819,64.6064, 10]
5.1,-17.6572,64.533, 10]
4.3,-17.9128,64.3551, 7.28]
4.5,-17.5229,64.5703, 9.2]
4.7,-17.405,64.6752, 8.01]
4.5,-17.5864,64.6186, 8.86]
4.7,-17.6189,64.6431, 8.96]
4.8,-17.5737,64.7719, 7.99]
4.5,-17.593,64.5691, 6.45]
4.7,-17.479,64.6209, 8.92]
4.6,-17.9455,64.5106, 10]
4.8,-17.5741,64.5598, 7.71]
4.6,-17.8498,64.6032, 7.87]
4.6,-17.4972,64.6021, 8.63]
5.5,-17.1994,64.5298, 4]
4.7,-17.8463,64.6614, 7.7]
4.4,-17.646,64.6097, 7.41]
4.6,-17.4453,64.6181, 8.2]
4.5,-17.7548,64.5494, 7.98]
4.6,-17.4566,64.6403, 10]
4.9,-17.3642,64.5896, 10.74]
4.5,-17.5548,64.5776, 9.43]
4.4,-17.5755,64.6042, 7.07]
4.8,-17.5307,64.6536, 8.61]
4.9,-17.5307,64.6203, 9.16]
4.6,-17.7787,64.5313, 8.35]
4.7,-17.744,64.362, 8.01]
4.5,-18.2422,64.3133, 15.07]
4.5,-17.5131,64.6788, 7.63]
4.7,-17.5472,64.6141, 10]
4.8,-17.5157,64.6103, 10]
4.4,-18.1164,64.4168, 10]
4.5,-17.8099,64.4518, 9.18]
4.6,-17.4635,64.634, 7.5]
4.9,-17.6197,64.5978, 8.27]
4.6,-17.5005,64.6446, 8.6]
4.4,-17.9574,64.53, 8.06]
4.6,-17.7804,64.5609, 7.94]
4.6,-17.3687,64.5568, 8.44]
4.6,-17.882,64.5774, 8.87]
4.5,-17.8963,64.4994, 6.08]
5.6,-17.315,64.5075, 10]
4.1,-17.7331,64.6526, 6.93]
4.8,-17.4701,64.6666, 8.21]
4.7,-17.6219,64.6353, 9.56]
4.8,-17.5641,64.6287, 7.62]
4.4,-17.5876,64.6071, 5.21]
4.8,-17.815,64.5888, 10]
4.2,-17.6526,64.5735, 7.39]
4.9,-17.4878,64.5604, 11.05]
4.3,-17.8578,64.5572, 10]
4.7,-17.4272,64.6038, 9.29]
4.3,-17.6649,64.5817, 7.98]
5.2,-17.5066,64.5055, 8.9]
4.9,-17.5823,64.6342, 10.07]
4.9,-17.5125,64.653, 10]
4.4,-17.5391,64.6788, 8.41]
5.1,-17.5047,64.8846, 8.89]
4.3,-17.8436,64.6235, 10]
4.4,-17.7522,64.5887, 8.32]
4.6,-17.6938,64.4807, 10]
5.4,-17.3866,64.5212, 5]
4.3,-17.833,64.5983, 6.81]
4.4,-17.548,64.6819, 7.66]
4.8,-17.3839,64.6444, 10]
4.3,-17.8341,64.4381, 7.64]
5,-17.2269,64.6912, 7.64]
4.5,-17.7245,64.5674, 7.88]
5.3,-17.162,64.6984, 6.89]
4.6,-17.7502,64.7299, 6.78]
4.6,-17.8575,64.487, 10]
5.1,-17.4933,64.6493, 5]
4.6,-17.515,64.5662, 8.83]
4,-17.9341,64.485, 10]
5.5,-17.3974,64.5728, 10]
4.6,-17.6466,64.566, 7.97]
4.1,-17.9633,64.3467, 7.91]
5,-17.4362,64.6764, 8.33]
4.6,-17.6543,64.6184, 9.22]
4.5,-17.5812,64.6601, 10]
5.1,-17.5574,64.6308, 10]
4.1,-17.8721,64.5569, 6.47]
5.3,-17.3433,64.5326, 7.56]
4.9,-17.6123,64.6756, 10]
5.2,-17.374,64.666, 7]
4.2,-16.9932,64.7667, 9.14]
4.6,-17.58,64.7008, 7.59]
4.5,-17.6073,64.4575, 10]
4.4,-17.715,64.6935, 10]
5.5,-17.395,64.5442, 4.98]
4.3,-17.6381,64.6767, 10]
4,-17.7916,64.4357, 10]
4.8,-17.4281,64.7001, 5]
4.4,-17.7724,64.6047, 8.19]
5.3,-17.2428,64.6788, 10]
4.2,-17.8353,64.3405, 8.58]
4.3,-17.5292,64.5433, 7.22]
4.3,-19.0591,67.309, 10]
4.3,-17.7607,64.5509, 7.3]
5.4,-17.4648,64.7055, 5]
4.6,-17.6617,64.6507, 10]
4.5,-17.371,64.5586, 8.05]
4.5,-17.4652,64.6642, 10]
5.5,-17.495,64.681, 0]
4.9,-17.598,64.6045, 9.51]
4.3,-17.7682,64.5122, 7.13]
4.7,-17.5222,64.6491, 8.19]
5.1,-17.4576,64.6449, 11.09]
5.4,-17.4932,64.5926, 6]
4.2,-17.9145,64.5495, 10]
5.4,-17.3446,64.7226, 10]
4.3,-17.7685,64.5639, 8]
5.4,-17.3877,64.6928, 4]
4.2,-17.8074,64.5699, 7.2]
4,-17.756,64.5188, 7.06]
4.5,-17.6711,64.6101, 7.18]
5.3,-17.648,64.446, 9]
4.5,-16.9166,65.0052, 7.9]
5.3,-17.7281,64.5336, 3.7]
4.2,-17.149,64.6564, 10]
5.3,-17.5183,64.6384, 10]
4.2,-17.4885,64.593, 8.65]
5,-17.7765,64.4529, 9.24]
5.3,-17.457,64.5645, 7.68]
4.8,-17.41,64.5267, 12.03]
4.9,-17.5417,64.5178, 10]
5.3,-17.4474,64.6693, 6.2]
4.7,-17.3761,64.7515, 7.88]
4.3,-17.505,64.665, 8]
4.3,-17.7576,64.5081, 7.29]
4.8,-17.6125,64.5099, 6.84]
4.4,-18.3494,64.2029, 10]
4,-17.853,64.2674, 10]
4.3,-17.6757,64.6385, 7.94]
4,-16.4572,65.2304, 10]
4.2,-18.9637,67.0915, 10.66]
4.8,-22.6586,63.7251, 10]
4.2,-24.9825,62.7891, 9.96]
4.4,-25.426,62.63, 10]
4.1,-23.128,63.758, 10]
4.6,-23.083,63.753, 10]
4.5,-23.236,63.932, 10]
4.4,-22.98,63.984, 9.5]
4.2,-17.708,66.384, 10]
4.2,-17.304,66.358, 10]
4.1,-17.14,66.289, 10]
4.1,-17.84,66.504, 10]
4.7,-17.489,66.511, 10]
4.3,-17.51,66.408, 17.9]
5.3,-17.599,66.426, 10]
4.4,-19.345,68.117, 10]
4.5,-18.48,67.918, 10]
5.5,-18.666,66.309, 10]
4.1,-18.68,66.013, 10]
5.3,-18.569,66.37, 10]
4.1,-18.678,66.165, 10]
4.8,-19.044,66.193, 10]
4.3,-18.721,66.301, 10]
4.4,-18.58,66.498, 10]
4.5,-16.423,68.831, 10]
4.2,-21.645,63.935, 10]
4.3,-19.028,63.568, 10]
4.4,-17.282,64.302, 10]
4.5,-17.57,64.355, 10]
4.2,-17.441,64.344, 10]
4.2,-17.392,64.367, 10]
5.2,-23.978,63.362, 10]
5.1,-23.799,63.486, 10]
4.9,-24.043,63.348, 10]
4.5,-23.967,63.491, 10]
4.6,-17.299,68.889, 10]
4.7,-17.25,68.867, 10]
4.6,-22.967,63.599, 10]
4.5,-23.434,63.556, 10]
4.5,-23.626,63.877, 10]
4.9,-16.666,68.856, 10]
4.4,-21.99,63.961, 1.3]
4.5,-22.086,63.916, 5]
4.5,-22.265,63.936, 3.5]
4.8,-22.24,63.924, 5]
4.7,-17.717,64.331, 5]
4.1,-17.563,68.667, 10]
4.3,-17.606,68.617, 10]
4.2,-17.689,66.467, 10]
4.3,-17.624,66.438, 10]
4.2,-26.354,62.343, 10]
3.7,-21.146,63.971, 10]
4,-21.199,64.031, 10]
6.3,-21.013,64.005, 9]
4.2,-20.066,64.969, 10.4]
4.8,-18.021,68.195, 10]
4.2,-19.022,66.956, 10]
4.1,-23.066,63.76, 10]
3.9,-23.29,63.939, 10]
4.4,-18.761,67.747, 10]
4.6,-24.054,63.3, 10]
4.4,-24.038,63.484, 10]
5,-23.926,63.295, 10]
4.9,-24.045,63.297, 10]
4.1,-23.946,63.619, 10]
4.2,-17.784,66.084, 10]
4.1,-21.597,68.235, 10]
3.5,-17.383,68.85, 10]
4.2,-26.397,62.309, 10]
4.5,-22.104,63.871, 10]
4.2,-18.327,66.914, 10]
4.6,-23.91,63.645, 10]
5.1,-17.176,68.886, 10]
4.5,-26.071,62.291, 10]
4.6,-16.934,68.797, 10]
5.6,-16.637,69.004, 10]
3.7,-17.321,68.798, 10]
4.3,-17.495,68.832, 10]
4.8,-26.541,62.006, 10]
4.3,-26.235,62.48, 10]
4.4,-26.509,61.969, 10]
4.8,-26.58,61.988, 10]
4.6,-26.58,61.957, 10]
4.6,-26.517,62.069, 10]
4.5,-26.539,61.954, 10]
4.5,-26.414,61.999, 10]
4,-26.506,61.945, 10]
3.4,-26.654,62.089, 10]
4.5,-26.683,62.098, 10]
4.1,-26.561,62.248, 10]
4.1,-25.28,62.642, 10]
4.3,-24.903,62.995, 10]
4.3,-26.912,62.237, 10]
4.2,-26.453,62.14, 10]
4.3,-26.522,62.117, 10]
3.8,-26.447,62.303, 10]
4.5,-26.45,62.074, 10]
4.2,-26.531,62.123, 10]
4.5,-26.591,62.242, 10]
4.5,-26.564,62.118, 10]
4.2,-26.469,62.245, 10]
